Muni_ID,ID,Muni,atmn,sludge,fertiliser,gross_manure,bnf,irrigation
1601,1111601,Arcos de Valdevez,2.3,0,5.9,37.6,4,0.485049788938197
1602,1111602,Caminha,1.4,2.946738858,0,48.1,4,0
1603,1111603,Melga�o,3.4,0.145516849,0.2,10.2,4.4,0
1604,1111604,Mon��o,2,0.705674705,14.9,47.1,3.2,2.0797500367593
1605,1111605,Paredes de Coura,1.8,0.647947765,9.3,94.1,3.1,0
1606,1111606,Ponte da Barca,1.2,0.799871082,0.6,78.8,3.7,0
1607,1111607,Ponte de Lima,1.6,0.53019704,57.7,99.6,2.1,1.56965844831486
1608,1111608,Valen�a,1.6,1.604265379,33.8,55.4,2.8,0
1609,1111609,Viana do Castelo,1.3,3.373110733,43.7,84.2,2.6,5.8526820302559
1610,1111610,Vila Nova de Cerveira,0.8,5.993956775,35.4,65,6,2.27252002913329
301,1120301,Amares,1.5,0,2.7,237.3,0.7,0
302,1120302,Barcelos,1.7,3.802720269,145,374.6,0.1,18.227016841147
303,1120303,Braga,1.3,6.905202969,149.4,185.5,0.3,3.40149362970995
306,1120306,Esposende,1.2,6.208285728,149.5,270.2,0.8,41.6959639126306
310,1120310,Terras de Bouro,1.3,0.122560283,2.9,28.3,4.3,0
313,1120313,Vila Verde,1.4,0.121919025,87.9,120.6,1.8,0
307,1130307,Fafe,0.8,1.663487055,6.8,211.7,1.3,0
308,1130308,Guimar�es,1.2,10.53588402,113.3,166.3,0.5,0
309,1130309,P�voa de Lanhoso,1,0.185418037,98.1,117.8,1.1,0
1314,1131314,Santo Tirso,1.1,42.90928349,92.2,144.7,0.3,0
1318,1131318,Trofa,1.5,0,116.2,428.7,0.4,0
311,1130311,Vieira do Minho,1.5,0.012132634,13,47,4,0
312,1130312,Vila Nova de Famalic�o,1.7,21.95789271,122,292,0.2,0
314,1130314,Vizela,1.1,0,153.8,74.2,1.1,0
107,1140107,Espinho,0.2,163.3026621,10.9,346.2,2.1,0
1304,1141304,Gondomar,0.7,14.68194799,88.6,77.1,0.3,0
1306,1141306,Maia,1.5,21.88838816,135.6,283.8,0.2,0
1308,1141308,Matosinhos,1.2,16.58088116,148.5,319.8,0.1,0
1312,1141312,Porto,0.1,0,135.6,59.9,0.8,0
1313,1141313,P�voa de Varzim,2.2,0,124.4,463.7,0.1,206.985745640409
1315,1141315,Valongo,0.7,95.37640333,6,1060.8,0.1,0
1316,1141316,Vila do Conde,2.4,0.041730705,140.2,503.7,0,0
1317,1141317,Vila Nova de Gaia,0.4,128.285593,32.5,72.5,4.6,0
1301,1151301,Amarante,1.5,0.672552318,53.4,24.7,2.8,0
1302,1151302,Bai�o,1.4,0,35.3,30.6,2.7,0
304,1150304,Cabeceiras de Basto,1.1,0,21.2,65.3,3,0
106,1150106,Castelo de Paiva,0.7,0,109.4,75.3,1.4,1.74069093610698
305,1150305,Celorico de Basto,0.9,0.462968944,102.3,78.9,0.9,0
1804,1151804,Cinf�es,1,0,46.3,56.2,3.1,0
1303,1151303,Felgueiras,1.5,1.088266175,74.6,111.7,0.1,0
1305,1151305,Lousada,1.5,0.607846481,138.1,76.3,0.3,0
1307,1151307,Marco de Canaveses,0.9,3.349965517,72.7,39.8,1.7,0
1705,1151705,Mondim de Basto,1.4,0,25.5,24.5,3.8,0
1309,1151309,Pa�os de Ferreira,1,10.1177206,123,155.6,0.5,0
1310,1151310,Paredes,0.9,0,114.8,95.1,0.4,0
1311,1151311,Penafiel,0.9,4.45427286,101.8,66.8,0.3,0
1813,1151813,Resende,1.4,0.310533216,33.9,26,1.4,0
1709,1151709,Ribeira de Pena,1.5,0.003605545,22.4,33.7,3.9,0
104,1160104,Arouca,0.8,0,53.7,109.5,2.7,0
113,1160113,Oliveira de Azem�is,0.6,1.740078832,117.7,397.7,0.2,0
109,1160109,Santa Maria da Feira,0.4,0.016888659,151.7,183.6,0.7,0
116,1160116,S�o Jo�o da Madeira,0,0,0,0,0,0
119,1160119,Vale de Cambra,0.8,0,36.7,97.1,3.3,0
1701,1171701,Alij�,1.1,0.095992547,16.8,7.8,0.4,0
1801,1171801,Armamar,1.7,0.184591778,23.1,4.2,0.1,0
403,1170403,Carrazeda de Ansi�es,0.8,0.01056673,24.3,11.3,0.4,0
404,1170404,Freixo de Espada � Cinta,1.1,0,23.5,7.8,0.8,0
1805,1171805,Lamego,1.5,0.529578976,15,10.4,1,0
1704,1171704,Mes�o Frio,1.9,0,0.5,2.5,0,0
1807,1171807,Moimenta da Beira,0.8,0.716537133,7,71.5,1,0
1812,1171812,Penedono,1,0,62.6,22.2,1.1,0
1708,1171708,Peso da R�gua,2,1.599225807,14.7,4.1,0.1,0
1710,1171710,Sabrosa,1.3,0.081269854,0.3,60.3,1.2,0
1711,1171711,Santa Marta de Penagui�o,2.4,0,15.3,3.6,0.6,0
1815,1171815,S�o Jo�o da Pesqueira,1.8,0.112965697,25.5,2.7,0.3,0
1818,1171818,Sernancelhe,0.8,0,22,48.3,1.8,0
1819,1171819,Tabua�o,1.2,0.151472454,30.9,6.4,0.3,0.212520782396088
1820,1171820,Tarouca,0.9,1.042251029,0.2,80.6,0.6,0
409,1170409,Torre de Moncorvo,1,0.409290037,16.4,17.9,0.8,0
410,1170410,Vila Flor,1.3,0,32.7,8.3,0.5,0
914,1170914,Vila Nova de Foz C�a,1.2,0,21.2,4,0.4,0
1714,1171714,Vila Real,1.2,1.330290509,1.8,42.8,2.8,0
401,1180401,Alf�ndega da F�,1.4,0,33.1,8.8,0.5,0.144269194796361
1702,1181702,Boticas,1.8,0,6.6,31.8,3.8,1.01211309308876
402,1180402,Bragan�a,1.2,0.15091792,37.5,19.5,1.2,2.36254836113347
1703,1181703,Chaves,1.3,0.361529465,24.2,56.9,1.2,0
405,1180405,Macedo de Cavaleiros,1.2,0.164109506,32.3,25.9,0.8,0
406,1180406,Miranda do Douro,1.7,0,11.6,27.7,1.6,0
407,1180407,Mirandela,1.4,0.369596195,27.7,20.7,0.4,0.133704195860514
408,1180408,Mogadouro,1.6,0,20.9,27.8,1,0.0499445071195536
1706,1181706,Montalegre,3.1,0.005493794,5.2,18.2,4.2,0
1707,1181707,Mur�a,1,0.146991447,10.9,13.6,0.5,0.628381734006734
1712,1181712,Valpa�os,1.6,0.050227738,49,15.8,0.6,0.19608323467808
1713,1181713,Vila Pouca de Aguiar,1.1,0,9.2,51.6,3.4,0
411,1180411,Vimioso,1.1,0.001443575,25.2,18.1,1.4,0
412,1180412,Vinhais,1,0.001407701,49.4,25.6,2.5,0
101,1610101,�gueda,0.3,0,30.3,235.5,0.5,30.9200315291645
102,1610102,Albergaria-a-Velha,0.7,0,0.9,338.7,0.7,8.51078934854969
103,1610103,Anadia,0.9,0.000776142,16.2,83.6,0.5,0.989364480557168
