irrigated_crop,aspersion,cannon,pivot,microaspersion,drip,subsurface_drip,furrow,other_grav
wheat,2034,2034,1898,0,1779.487707,1675,7000,10000
rye,1729,1729,1614,0,1513.205848,1424,7000,10000
barley,1729,1729,1614,0,1513.205848,1424,7000,10000
forage_oat,1104,1104,1031,0,966.2017105,909,7000,10000
oat,1104,1104,1031,0,966.2017105,909,7000,10000
forage_maize,7822,7822,7301,0,6845,6442,7000,10000
maize,7822,7822,7301,0,6845,6442,7000,10000
triticale,2034,2034,1898,0,1779.487707,1675,7000,10000
forage_sorghum,5903,5903,5509,0,5164.905947,4861,7000,10000
sorghum,5903,5903,5509,0,5164.905947,4861,7000,10000
pea,1726,1726,1611,0,1510,1421,7000,10000
faba bean,2196,2196,2049,0,1921,1808,7000,10000
sunflower,3957,3957,3693,0,3462,3258,7000,10000
other_industry,7353,7353,6862.5,0,6436,6055,7000,10000
beet,7423,7423,6928,0,6500,6113,7000,10000
tomato,7283,7283,6797,0,6372,5997,7000,10000
vineyard,3328,0,0,2912,2912,2741,7000,10000
chickpea,1991,1991,1858,1742,1742,1639,7000,10000
olive grove,2220,0,0,1942,1942,1828,7000,10000
fig,4192,0,0,3668,3668,3452,7000,10000
chestnut,0,0,0,5954,5954,5604,7000,10000
other_dried_nuts,0,0,0,5954,5954,5604,7000,10000
pear,6079,0,0,5319,5319,5006,7000,10000
peach,6160,0,0,5390,5390,5073,7000,10000
orange,4163,0,0,3642,3642,3428,7000,10000
lemon,4163,0,0,3642,3642,3428,7000,10000
potato,4374,4374,4083,3828,3828,3602,7000,10000
apple,6079,0,0,5319,5319,5006,7000,10000
cherry,0,0,0,5390,5390,5073,7000,10000
apricot,6160,0,0,5390,5390,5073,7000,10000
plum,6160,0,0,5390,5390,5073,7000,10000
almonds,4697,0,0,4110,4110,3868,7000,10000
locust,3528,0,0,3087,3087,2905,7000,10000
nuuts,6805,0,0,5954,5954,5604,7000,10000
hazelnut,0,0,0,5954,5954,8284,7000,10000
quince,0,0,0,5319,5319,7400,7000,10000
loquat,0,0,0,5390,5390,7608,7000,10000
perma_grassland,7197,7197,6717,0,0,5927,7000,10000
tempo_grassland,7197,7197,6717,0,0,5927,7000,10000
pulses,4006,4006,3739,0,3506,3299,7000,10000
tangerine,4163,0,0,3642,3642,3428,7000,10000
other_citrus,4163,0,0,3642,3642,3428,7000,10000
other_fresh_fruits,0,0,0,5208,5208,6901,7000,10000
bean,4006,4006,3739,3505.563876,3506,4767,7000,10000
tangera,4163,0,0,3642,3642,3428,7000,10000
other_pulses,1726,1726,1611,0,0,1421,7000,10000
forage_mixture,7197,7197,6717,0,0,5927,7000,10000
horticulture_intensive,6705,6705,6258,5867,5867,5521,7000,10000
horticulture_extensive,3701,3214,3454,2272,2821,3048,7000,10000
rice,0,0,0,0,0,0,0,15000
forage_roots,7197,7197,6717,0,0,5927,7000,10000
